"SMILES", "Ki"
"O[C@@H](CNCCOc1ccccc1)c1ccc(O)c2[nH]c(=O)sc12","4.4"
"Nc1c(I)cc(CC2NCCc3cc(O)c(O)cc23)cc1I","1.549"
"COC(=O)CCCCCN1CCC(CNC(=O)c2c3OCCCn3c3ccccc23)CC1","10000.0"
"CCc1cc2CC(Cc2cc1CC)NC[C@H](O)c1ccc(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)c2[nH]c(=O)ccc12","10000.0"
"CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12",
"OCc1cc(ccc1O)C(O)CNCCc1ccc(Nc2ccc(Oc3ccccc3)cc2)cc1","316.23"
"COc1ccc(cc1OC)[C@H](CCc1ccccc1Cl)NC[C@H](O)Cc1ccc(O)c(NS(C)(=O)=O)c1","57.0"
"COc1ccc(CN2CCN(CC2)c2ccc(CCNCC(O)c3ccc(O)c(CO)c3)cc2)cc1","10000.0"
"COc1cccc(Nc2ccc(CCNCC(O)c3ccc(O)c(CO)c3)cc2)c1","630.96"
"OCc1cc(ccc1O)C(O)CNCCc1ccc(Nc2ccc(F)cc2)cc1","1258.93"
"CN(C1CCCCC1)C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1",
"COc1cc(NC(C)CCCN)c2ncccc2c1",
"CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C",
"COc1cc(CCNCCc2ccc(O)c3NC(=O)COc23)ccc1OCCCc1ccccc1","2.8"
"CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12","33.0"
"NC[C@H](O)c1ccc(O)c(O)c1","378000.0"
"CCCN[C@H]1CCc2nc(N)sc2C1","100000.0"
"C[C@H](Cc1c[nH]c2c(cccc12)S(C)(=O)=O)NC[C@H](O)c1cccc(NS(=O)(=O)c2cccc(N)c2)c1","20.0"
"[Cl-].C[N+](C)(C)CCOC(N)=O",
"NC[C@H](O)c1ccc(O)c(O)c1","191000.0"
"Cc1csc2ncnc(N3CCC(CC3)NCC(O)COc3ccc(O)cc3)c12","2600.0"
"OC(CNC1CCN(CC1)c1ncnc2scc(-c3cccs3)c12)COc1ccc(O)cc1","28.0"
"Fc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1",
"OC(COc1cccc2[nH]c3ccccc3c12)CN1CCC(Cc2cccnc2)CC1","0.1"
"Cl.CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C",
"COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1",
"Cc1cccc(Nc2cc(Cl)nc(SCC(O)=O)n2)c1C",
"C[C@@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1","28624.0"
"COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C",
"Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O",
"CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1",
"CC1(C)[C@@H]2CC[C@]1(C)[C@H](C2)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12","40.4"
"CS(=O)(=O)Nc1cc(C[C@H](O)CN[C@H](Cc2ccccc2)c2ccc(Cl)c(Cl)c2)ccc1O","38.0"
"OC(COc1cccc2[nH]ccc12)CN1CCC(CN2C(=O)c3cccc4cccc(C2=O)c34)CC1","120.0"
"CC(C)c1ccc(C)cc1OCC(O)CN1CCC(CN2C(=O)c3cccc4cccc(C2=O)c34)CC1","80.0"
"CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\\C=C\\C=C\\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C",
"Oc1c(Br)cc(Br)cc1C(=O)Nc1ccc(Br)cc1",
"ClC(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl",
"C[C@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1","22908.68"
