"SMILES", "Ki"
"FC(F)(F)c1ccc(SC[C@@H](C2CCNCC2)c2c[nH]cn2)cc1","280.0"
"CN(CCc1cccc(F)c1)[C@@H]1C2C3CC4C5CC(C2C35)C14","10000.0"
"CN(C)C(=O)CN1CCCC(C1)c1nc2ccccc2n1CCOc1ccccc1","11.9"
"CCS(=O)(=O)CCn1c(C)ncc1[N+]([O-])=O",
"CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1",
"COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1",
"N#C\\N=C(\\NCCSc1ccccc1)NC[C@H]1CC[C@H](C1)c1c[nH]cn1","6780.0"
"N#C\\N=C(\\NCCSc1ccccc1)NC[C@@H]1CC[C@@H](C1)c1c[nH]cn1","3050.0"
"CCC1(CCC(=O)NC1=O)c1ccc(N)cc1",
"CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12",
"CNC(NC[C@@H]1CC[C@H](C1)c1c[nH]cn1)=NC#N","10000.0"
"CC(C)OC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(CC2)C(c2ccc(F)cc2)c2ccc(F)cc2)cc1","9.55"
"NCCCCCCCCCCCc1c[nH]cn1","3.9810717055349694E14"
"CC1CCC(CCCCN2CCC(CC2)C(O)(c2ccccc2)c2ccccc2)CC1","61.0"
"Cc1ccc(CN2CCC(CC2)C(O)(c2ccccc2)c2ccccc2)cc1","16.0"
"CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12","7.0"
"CN(C[C@@H]1Cc2ccccc2O1)Cc1nc(oc1C)-c1ccco1","10000.0"
"COc1cccc2[C@H](CN(C)CCc3ccc4ccoc4c3)CCCc12","1000.0"
"COc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1","501.19"
"COc1ccc(cc1C)-c1nc(CN(C)C[C@@H]2Cc3ccccc3O2)c(C)o1","10000.0"
"NCCc1c[nH]c(CCC(C2CCCCC2)c2ccccc2)n1","1.0E14"
"OCCN1CCN(CC2C[C@H]3[C@H](O2)c2ccccc2Cc2ccccc32)CC1","3.7"
"CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)OC(C)C)cc1","309.03"
"CN1CCN(CCCCNC(=O)c2cn3ccccc3n2)CC1","10000.0"
"FC(F)(F)c1ccc(SC[C@H](C2CCNCC2)c2c[nH]cn2)cc1","48.0"
"NCCc1c[nH]cn1","79432.82"
"OC(=O)[C@@H]1[C@H]2CN(C[C@@H]12)C1CCC2(C1)Cc1ccccc1Cc1ccccc21","39.81"
