Key,Difference
KRFP1608,0.3058
KRFP4778,0.3058
KRFP3911,0.3058
KRFP1229,0.3058
KRFP2699,0.3058
KRFP2412,0.3058
KRFP1228,0.3058
KRFP3473,0.3058
KRFP2662,0.3058
KRFP2700,0.3058
KRFP1171,0.3058
KRFP4830,0.3058
KRFP1408,0.3058
KRFP3795,0.3058
KRFP360,0.3058
KRFP2276,0.3058
KRFP3872,0.3058
KRFP4024,0.3058
KRFP705,0.3058
KRFP3581,0.3058
KRFP3817,0.3058
KRFP3412,0.3058
KRFP1150,0.3422
KRFP1948,0.3422
KRFP1816,0.3422
KRFP3540,0.3422
KRFP2950,0.3422
KRFP652,0.3422
KRFP1288,0.3914
KRFP3940,0.3914
KRFP562,0.3914
KRFP4231,0.3914
KRFP4519,0.3914
KRFP607,0.3914
KRFP2289,0.3914
KRFP890,0.3914
KRFP4767,0.3914
KRFP4661,0.3914
KRFP4663,0.3914
KRFP3599,0.3914
KRFP2736,0.4277
KRFP2760,0.4277
KRFP3882,0.4405
KRFP781,0.5133
KRFP3490,0.5497
KRFP4751,0.5624
KRFP4191,0.5988
KRFP2487,0.5988
KRFP1623,0.5988
KRFP4496,0.6116
KRFP1607,0.6116
KRFP3208,0.6116
KRFP3579,0.6116
KRFP3281,0.6116
KRFP3285,0.6116
KRFP1546,0.6116
KRFP366,0.6116
KRFP645,0.6116
KRFP4523,0.6116
KRFP3770,0.6116
KRFP3152,0.6116
KRFP3910,0.6116
KRFP3151,0.6116
KRFP4440,0.6116
KRFP1606,0.6116
KRFP3074,0.6116
KRFP4452,0.6116
KRFP27,0.6116
KRFP560,0.6116
KRFP3040,0.6116
KRFP4020,0.6116
KRFP2588,0.6116
KRFP19,0.6116
KRFP2486,0.6116
KRFP3529,0.6224
KRFP3182,0.648
KRFP391,0.6972
KRFP644,0.6972
KRFP3394,0.6972
KRFP3905,0.6972
KRFP4470,0.6972
KRFP1427,0.6972
KRFP2582,0.6972
KRFP1158,0.6972
KRFP3553,0.6972
KRFP4522,0.6972
KRFP4820,0.7079
KRFP3336,0.7827
KRFP3998,0.7827
KRFP1924,0.7827
KRFP3657,0.7827
KRFP1655,0.7827
KRFP403,0.7827
KRFP3922,0.7827
KRFP1622,0.8063
KRFP387,0.8427
KRFP4831,0.8683
KRFP1650,0.9174
KRFP1525,0.9174
KRFP418,0.9174
KRFP3360,0.9174
KRFP3361,0.9174
KRFP2672,0.9174
KRFP4548,0.9174
KRFP4754,0.9174
KRFP2660,0.9174
KRFP3398,0.941
KRFP4811,0.9774
KRFP654,1.003
KRFP3385,1.003
KRFP216,1.003
KRFP3598,1.003
KRFP3388,1.003
KRFP1426,1.003
KRFP2666,1.003
KRFP3772,1.003
KRFP557,1.003
KRFP2862,1.0394
KRFP1160,1.0501
KRFP2702,1.0757
KRFP3752,1.0825
KRFP2595,1.0885
KRFP3645,1.0885
KRFP577,1.0885
KRFP2448,1.0885
KRFP993,1.0885
KRFP2262,1.1276
KRFP2598,1.1613
KRFP214,1.1741
KRFP3283,1.1741
KRFP4770,1.1936
KRFP1591,1.1956
KRFP3693,1.2104
KRFP3790,1.2232
KRFP1520,1.2232
KRFP3991,1.2232
KRFP3534,1.2232
KRFP2586,1.2232
KRFP16,1.2468
KRFP3180,1.294
