KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_1513,0,0,0,0,1,[!#1]C(=O)O[CH2][CH2][CH2][CH3]
KLEK_1514,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2][CH2]N([CH3])[CH3]
KLEK_1515,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2][CH3]
KLEK_1516,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2][NH2]
KLEK_1517,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2][OH]
KLEK_1518,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KLEK_1519,0,0,0,0,0,[!#1]C(=O)O[CH2][CH2]N([CH3])[CH3]
KLEK_1520,6,4,0,24,37,[!#1]C(=O)O[CH2][CH3]
KLEK_1521,0,0,0,0,0,[!#1]C(=O)O[CH2]C#[CH]
KLEK_1522,0,0,0,0,0,[!#1]C(=O)O[CH2]C(=C(Cl)Cl)Cl
KLEK_1523,0,0,0,0,0,[!#1]C(=O)O[CH2]C(F)(F)C(F)(F)F
KLEK_1524,6,7,2,36,6,[!#1]C(=O)O[CH3]
KLEK_1525,4,6,0,24,15,[!#1]C(=O)OC([CH3])([CH3])[CH3]
KLEK_1526,0,0,0,0,0,[!#1]C(=O)ON=[CH]c1[cH][cH]c(Br)[cH][cH]1
KLEK_1527,0,0,0,0,0,[!#1]C(=O)ON=C([CH3])C([CH3])([CH3])[CH3]
KLEK_1528,0,0,0,0,0,[!#1]C(=O)ON=C([CH3])c1[cH][cH][cH][cH][cH]1
KLEK_1529,0,0,0,0,0,[!#1]C(=S)[NH][CH2]C(=[CH2])[CH3]
KLEK_1530,0,0,0,0,0,[!#1]C(=S)[NH2]
KLEK_1531,0,0,0,0,0,[!#1]C(=S)S[CH2][CH2]C(=O)[OH]
KLEK_1532,0,0,0,0,0,[!#1]C(Cl)(Cl)Cl
KLEK_1533,1,1,0,1,0,[!#1]C(F)(F)[CH](F)F
KLEK_1534,0,0,0,0,0,[!#1]C(F)(F)C(F)(F)[CH](F)F
KLEK_1535,0,0,0,4,4,[!#1]C(F)(F)C(F)(F)F
KLEK_1536,75,53,16,553,55,[!#1]C(F)(F)F
KLEK_1537,0,0,0,0,0,[!#1]C1([!#1])[CH]2[CH2][CH2]C([CH3])(C1=O)C2([CH3])[CH3]
KLEK_1538,9,4,0,11,0,[!#1]C1([!#1])[CH2][CH2][CH2][CH2][CH2]1
KLEK_1539,36,1,0,11,1,[!#1]C1([!#1])[CH2][CH2][CH2][CH2]1
KLEK_1540,0,0,0,0,0,[!#1]C1([!#1])C(=NN(C1=O)c2[cH][cH]c([cH][cH]2)[N+](=O)[O-])[CH3]
KLEK_1541,0,0,0,0,0,[!#1]C1([!#1])C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O
KLEK_1542,0,0,0,0,0,[!#1]C1([!#1])C(=O)c2[cH][cH][cH][cH]c2C1=O
KLEK_1543,0,0,0,0,0,[!#1]C1([!#1])C(=O)N(N=C1c2[cH][cH][cH][cH][cH]2)c3[cH][cH]c([cH][cH]3)[N+](=O)[O-]
KLEK_1544,0,0,0,0,0,[!#1]C1([!#1])C(=O)OC([CH3])([CH3])OC1=O
KLEK_1545,0,0,0,0,0,[!#1]C1([!#1])S(c2[cH][cH][cH][cH]c2C1=O)
KLEK_1546,3,0,0,6,0,[!#1]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KLEK_1547,0,0,0,0,0,[!#1]C1([CH2][CH]2[CH2][CH]3[CH2][CH]2[CH2]1)[CH2]3
KLEK_1548,0,0,0,0,0,[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2][CH]([CH2]2)[CH2][CH2]3
KLEK_1549,0,0,0,0,0,[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2]C([!#1])([CH2]2)[CH2]3
KLEK_1550,0,0,0,0,0,[!#1]C1([CH2][CH]2[CH2][CH]3[CH2]1)[CH2]C([OH])([CH2]2)[CH2]3
KLEK_1551,0,0,0,0,0,[!#1]C1([CH2][CH3])C(=[NH])[NH]C(=O)[NH]C1=O
KLEK_1552,0,0,0,0,0,[!#1]C1([CH2]N2[CH2]N3[CH2]1)C(=O)C([!#1])([CH2]2)[CH2]3
KLEK_1553,0,0,0,0,0,[!#1]C1([CH3])O[CH2][CH2]O1
KLEK_1554,0,0,0,5,0,[!#1]C1([OH])[CH2][CH2][CH2][CH2][CH2]1
KLEK_1555,0,0,0,1,0,[!#1]C1([OH])[CH2][CH2][CH2][CH2]1
KLEK_1556,0,0,0,0,0,[!#1]C1([OH])C(=O)[NH]c2[cH][cH][cH][cH]c21
KLEK_1557,0,0,0,0,0,[!#1]C1([OH])N(C(=O)[NH]c2[cH][cH][cH][cH]c21)c3[cH][cH][cH][cH][cH]3
KLEK_1558,0,0,0,0,0,[!#1]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3
KLEK_1559,0,0,0,0,0,[!#1]C1(C(=O)N(c2[cH][cH][cH][cH]c21)c3[cH][cH][cH][cH][cH]3)C(F)(F)F
