KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_4575,0,0,0,0,0,O=CNN=Cc1nc2ccccc2[nH]1
KLEK_4576,0,0,0,0,0,O=CNn1cnnc1
KLEK_4577,0,0,0,0,0,O=CNNC(=S)NC=O
KLEK_4578,0,0,0,0,0,O=CNNC=O
KLEK_4579,0,0,0,2,0,O=CNNS(=O)=O
KLEK_4580,11,22,0,7,1,O=CNS(=O)=O
KLEK_4581,0,0,0,1,0,O=COc1ccc2ccccc2c1
KLEK_4582,15,0,0,18,0,O=COc1ccccc1
KLEK_4583,0,0,0,0,0,O=COCC#C
KLEK_4584,0,0,0,0,0,O=P1OCCCO1
KLEK_4585,1,1,0,0,0,O=S(=O)(c1ccccc1)c2ccccc2
KLEK_4586,0,0,0,0,0,O=S(=O)c1ccc(cc1)C2CCCCC2
KLEK_4587,0,0,0,0,0,O=S(=O)c1ccc(S(c2ccc(cc2)S(=O)=O))cc1
KLEK_4588,10,17,0,8,0,O=S(=O)c1ccc2ccccc2c1
KLEK_4589,0,0,0,0,0,O=S(=O)c1cccc2nsnc12
KLEK_4590,302,281,18,333,39,O=S(=O)c1ccccc1
KLEK_4591,0,0,0,0,0,O=S(=O)C1CCS(=O)(=O)C1
KLEK_4592,15,7,0,15,0,O=S(=O)N1CCCCC1
KLEK_4593,5,4,1,1,3,O=S(=O)N1CCNCC1
KLEK_4594,0,0,0,0,0,O=S(=O)N1CCOCC1
KLEK_4595,0,0,0,0,0,O=S(=O)n1cnc2ccccc12
KLEK_4596,0,0,0,0,0,O=S(=O)Nc1cccc2cccnc12
KLEK_4597,0,0,0,24,0,O=S(=O)NC1CCCCC1
KLEK_4598,0,0,0,0,0,O=S(=O)Nc1ccccn1
KLEK_4599,0,0,0,0,0,O=S(=O)Nc1cnc2ccccc2n1
KLEK_4600,0,0,0,0,0,O=S(=O)Nc1nccs1
KLEK_4601,4,1,0,42,0,O=S(=O)Oc1ccccc1
KLEK_4602,0,0,0,0,0,O=S1(=O)c2ccccc2-c3ccccc31
KLEK_4603,0,0,0,0,0,O=S1(=O)CC(CS(=O)(=O)C1)c2ccccc2
KLEK_4604,0,0,0,0,0,O=S1(=O)CCC=C1
KLEK_4605,0,0,0,0,0,O=S1(=O)CCCC1
KLEK_4606,0,0,0,0,0,O1C=CC(c2cn[nH]c12)c3ccccc3
KLEK_4607,3,3,0,9,2,OC(=O)C(F)(F)F
KLEK_4608,0,0,0,0,0,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
KLEK_4609,20,12,1,19,3,OC(=O)C=C
KLEK_4610,0,0,0,0,0,OC(=O)C=CC(=O)NNC=O
KLEK_4611,0,0,0,0,0,OC(=O)C=Cc1ccccc1
KLEK_4612,0,0,0,0,0,OC(=O)C1(CC2CC3CC(C2)C1)C3
KLEK_4613,0,0,0,0,0,OC(=O)C1C(C=O)C2c3ccccc3C1c4ccccc24
KLEK_4614,0,0,0,0,0,OC(=O)C1C2CCCCC12
KLEK_4615,0,0,0,0,0,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
KLEK_4616,0,0,0,0,0,OC(=O)c1cc(ccc1C=O)[N+](=O)[O-]
KLEK_4617,0,0,0,0,0,OC(=O)C1CC1c2ccccc2
KLEK_4618,0,0,0,0,0,OC(=O)C1CC2c3ccccc3C1c4ccccc24
KLEK_4619,0,0,0,0,0,OC(=O)C1CC2CC1C=C2
KLEK_4620,1,1,0,3,0,OC(=O)c1cc2ccccc2[nH]1
KLEK_4621,0,0,0,0,0,OC(=O)c1ccc(C=O)c(C=O)c1
KLEK_4622,0,0,0,0,0,OC(=O)c1ccc(C=O)cc1
KLEK_4623,0,0,0,0,0,OC(=O)c1ccc(cc1)[N+](=O)[O-]
KLEK_4624,0,0,0,0,0,OC(=O)c1ccc(cc1)C(=O)O
KLEK_4625,0,0,0,0,0,OC(=O)c1ccc(cc1)c2ccccc2
KLEK_4626,0,0,0,0,0,OC(=O)c1ccc(cc1)S(=O)=O
KLEK_4627,0,0,0,1,0,OC(=O)c1ccc(Cl)cc1
KLEK_4628,0,0,0,0,0,OC(=O)c1ccc(Cl)cc1Cl
KLEK_4629,0,0,0,0,0,OC(=O)c1ccc(NC(=S)NCC(Cl)(Cl)Cl)cc1
KLEK_4630,0,0,0,0,0,OC(=O)c1ccc(NC(=S)SCC=O)cc1
KLEK_4631,2,2,0,0,0,OC(=O)c1ccc(NC=O)cc1
KLEK_4632,0,0,1,1,0,OC(=O)c1ccc(O)cc1
KLEK_4633,0,0,0,0,0,OC(=O)c1ccc(O)cc1C(=O)O
KLEK_4634,0,0,0,0,0,OC(=O)C1CCC=CC1
KLEK_4635,0,0,0,0,0,OC(=O)c1ccc2C(=O)N(C(=O)c2c1)c3ccccc3
KLEK_4636,0,0,0,0,0,OC(=O)c1cccc([N+](=O)[O-])c1C=O
