KEYS,5ht1a,5ht7,beta2,d2,h1,SMARTS
KLEK_202,0,0,0,4,0,[!#1][CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2
KLEK_203,12,11,0,6,1,[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[!#1]
KLEK_204,1,0,0,0,1,[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]([CH2]1)N2[CH3]
KLEK_205,8,0,0,0,0,[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]1[CH2]2
KLEK_206,0,0,0,0,0,[!#1][CH]1[CH2][CH]2[CH2][CH2]N1[CH2][CH]2[CH]=[CH2]
KLEK_207,0,0,0,1,0,[!#1][CH]1[CH2][CH2][CH]([!#1])[CH]([!#1])[CH2]1
KLEK_208,96,0,0,300,4,[!#1][CH]1[CH2][CH2][CH]([!#1])[CH2][CH2]1
KLEK_209,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH]([CH2][CH2]1)C([CH3])([CH3])[CH3]
KLEK_210,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH]2[CH2][CH2][CH2][NH][CH]2[CH2]1
KLEK_211,0,0,0,3,0,[!#1][CH]1[CH2][CH2][CH2][CH]([!#1])N1[!#1]
KLEK_212,4,12,1,2,0,[!#1][CH]1[CH2][CH2][CH2][CH2][CH]1[!#1]
KLEK_213,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2][CH2][CH2][CH2][CH2]1
KLEK_214,47,4,6,16,4,[!#1][CH]1[CH2][CH2][CH2][CH2][CH2]1
KLEK_215,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2][CH2][NH]C1=O
KLEK_216,11,6,7,1,2,[!#1][CH]1[CH2][CH2][CH2][CH2]1
KLEK_217,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2][CH2]C1=O
KLEK_218,5,12,0,14,1,[!#1][CH]1[CH2][CH2][CH2][CH2]N1[!#1]
KLEK_219,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2]C1=N[NH]C(=S)[NH2]
KLEK_220,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([!#1])[cH]c23
KLEK_221,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([cH]c23)c4[cH][cH][cH][cH][cH]4
KLEK_222,0,0,0,0,0,[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([CH3])[cH]c23
KLEK_223,49,7,0,18,18,[!#1][CH]1[CH2][CH2][CH2]N([!#1])[CH2]1
KLEK_224,57,81,0,111,38,[!#1][CH]1[CH2][CH2][CH2]N1[!#1]
KLEK_225,1,0,0,3,0,[!#1][CH]1[CH2][CH2][CH2]O1
KLEK_226,29,0,0,0,5,[!#1][CH]1[CH2][CH2][NH][CH2][CH2]1
KLEK_227,0,0,0,0,0,[!#1][CH]1[CH2][CH2][NH]C(=O)[NH]1
KLEK_228,68,10,0,14,4,[!#1][CH]1[CH2][CH2]1
KLEK_229,0,0,0,0,0,[!#1][CH]1[CH2][CH2]C([!#1])(C(=O)[OH])C1([!#1])[CH3]
KLEK_230,0,0,0,0,0,[!#1][CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]
KLEK_231,0,0,0,0,0,[!#1][CH]1[CH2][CH2]c2c([!#1])c([!#1])sc2C1=O
KLEK_232,293,229,72,362,177,[!#1][CH]1[CH2][CH2]N([!#1])[CH2][CH2]1
KLEK_233,0,0,0,0,0,[!#1][CH]1[CH2][CH2]OC1=O
KLEK_234,0,0,0,1,0,[!#1][CH]1[CH2][CH2]S(=O)(=O)[CH2]1
KLEK_235,0,0,0,0,0,[!#1][CH]1[CH2][NH]c2[cH][cH][cH][cH]c12
KLEK_236,0,0,0,0,0,[!#1][CH]1[CH2]C([!#1])([CH]([!#1])[CH2]N1[!#1])c2[cH][cH][cH][cH][cH]2
KLEK_237,0,0,0,0,0,[!#1][CH]1[CH2]C([!#1])([CH3])[NH]C([!#1])([CH3])[CH2]1
KLEK_238,0,0,0,0,0,[!#1][CH]1[CH2]C([CH3])([CH3])[NH]C([CH3])([CH3])[CH2]1
