SMILES,Ki,Klek
OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1cc(O)ccc1C(O)=O,517.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9310>
O[C@@H](CNCCc1ccc(OCCCc2ccccc2)cc1)c1ccc(O)c(NC=O)c1,5.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9360>
C\\C(\\C=C\\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C93B0>
Cn1cc(C(=O)C(=O)N[C@@H]2CN3CCC2CC3)c2ccccc12,100000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9400>
COc1cc(cc(OC)c1OC)C(=O)NC1CCCNC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9450>
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,2.6,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9540>
CCCCC[C@@H](C)NC[C@H](O)c1cc(O)cc(O)c1,9275.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C94F0>
CCCCC[C@H](C)NC[C@@H](O)c1cc(O)cc(O)c1,56420.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C94A0>
CO[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]2[C@]2(C)CC[C@@H](O2)[C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@H](O3)[C@@H](C)[C@@H]3O[C@](O)(CC(O)=O)[C@@H](C)[C@H](OC)[C@H]3OC)O2)[C@H]2O[C@](C)(O)[C@H](C)C[C@@H]2C)O[C@@H](C)[C@@H]1OC,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9590>
[O-][N+](=O)c1ccc(\\C=N\\N2CC(=O)NC2=O)o1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C95E0>
CN1CCC[C@H]1c1cccnc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9680>
FCc1nc(cs1)C#Cc1cc(F)cc(c1)C#N,10000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9630>
O=C1COc2ccc(OCCNCCCOc3cccc4[nH]ccc34)cc2N1,1000.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C96D0>
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c2ccccc2)C(=O)C1=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9720>
CNCCC=C1c2ccccc2CCc2ccccc12,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9770>
COC1=CC(=O)OC1(O)C(C)=C,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C97C0>
C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9810>
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)ccc(Cl)c1[C@@]3(C)O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9860>
CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C98B0>
CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9900>
COc1cc(\\C=C\\C(O)=O)ccc1O,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9950>
Cc1[nH]cnc1CN1CCc2c(C1=O)c1ccccc1n2C,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C99A0>
OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1cccc(c1)C#N,42.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C99F0>
OC(CNC1CCN(CC1)c1ncnc2scc(-c3ccccc3)c12)COc1ccc(F)cc1,55.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9A40>
Cc1cccc(Nc2ccccc2C(O)=O)c1C,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9A90>
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9AE0>
OC(=O)Cc1ccc(cc1)-c1ccccc1,,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000022B658C9B30>
