D2 geenrated ligands docking res;D2 chembl ligands;dd2 random zinc docking score
-5.668;-7.825;-5.009
-5.666;-7.824;-5.002
-5.664;-7.823;-5.002
-5.653;-7.822;-4.998
-5.653;-7.822;-4.998
-5.652;-7.822;-4.996
-5.652;-7.822;-4.994
-5.652;-7.821;-4.992
-5.649;-7.821;-4.99
-5.648;-7.821;-4.99
-5.647;-7.821;-4.99
-5.647;-7.82;-4.986
-5.646;-7.82;-4.979
-5.645;-7.82;-4.976
-5.645;-7.82;-4.976
-5.644;-7.82;-4.973
-5.643;-7.82;-4.968
-5.642;-7.819;-4.966
-5.641;-7.818;-4.965
-5.641;-7.818;-4.962
-5.64;-7.818;-4.96
-5.639;-7.818;-4.96
-5.639;-7.818;-4.955
-5.638;-7.818;-4.951
-5.638;-7.818;-4.946
-5.636;-7.818;-4.937
-5.636;-7.817;-4.933
-5.635;-7.817;-4.933
-5.632;-7.817;-4.933
-5.631;-7.816;-4.923
-5.631;-7.814;-4.923
-5.629;-7.814;-4.919
-5.628;-7.814;-4.912
-5.625;-7.814;-4.911
-5.623;-7.813;-4.906
-5.622;-7.813;-4.905
-5.621;-7.813;-4.894
-5.62;-7.812;-4.89
-5.62;-7.812;-4.889
-5.619;-7.811;-4.887
-5.618;-7.811;-4.876
-5.614;-7.81;-4.875
-5.612;-7.81;-4.875
-5.611;-7.809;-4.874
-5.611;-7.809;-4.868
-5.61;-7.808;-4.862
-5.61;-7.808;-4.861
-5.61;-7.807;-4.86
-5.609;-7.807;-4.858
-5.608;-7.807;-4.858
-5.608;-7.806;-4.851
-5.607;-7.806;-4.85
-5.607;-7.806;-4.849
-5.606;-7.806;-4.838
-5.605;-7.805;-4.837
-5.604;-7.803;-4.834
-5.603;-7.803;-4.831
-5.602;-7.802;-4.827
-5.602;-7.802;-4.826
-5.599;-7.802;-4.823
-5.597;-7.802;-4.822
-5.596;-7.801;-4.815
-5.594;-7.801;-4.809
-5.593;-7.801;-4.804
-5.593;-7.799;-4.796
-5.592;-7.799;-4.795
-5.591;-7.797;-4.793
-5.591;-7.797;-4.789
-5.587;-7.797;-4.788
-5.583;-7.797;-4.778
-5.583;-7.797;-4.774
-5.583;-7.796;-4.769
-5.582;-7.796;-4.769
-5.581;-7.795;-4.768
-5.579;-7.795;-4.768
-5.579;-7.795;-4.766
-5.575;-7.795;-4.765
-5.574;-7.795;-4.761
-5.574;-7.795;-4.759
-5.572;-7.794;-4.754
-5.571;-7.794;-4.751
-5.571;-7.793;-4.751
-5.57;-7.793;-4.748
-5.569;-7.791;-4.745
-5.568;-7.791;-4.745
-5.568;-7.791;-4.737
-5.566;-7.791;-4.734
-5.565;-7.791;-4.73
-5.565;-7.79;-4.728
-5.563;-7.79;-4.726
-5.562;-7.788;-4.725
-5.561;-7.788;-4.722
-5.559;-7.788;-4.722
-5.559;-7.787;-4.714
-5.558;-7.785;-4.713
-5.557;-7.785;-4.71
-5.557;-7.785;-4.708
-5.553;-7.783;-4.706
-5.553;-7.783;-4.697
-5.553;-7.782;-4.686
-5.553;-7.78;-4.681
-5.552;-7.78;-4.676
-5.552;-7.779;-4.653
-5.55;-7.779;-4.651
-5.547;-7.778;-4.65
-5.545;-7.778;-4.646
-5.544;-7.778;-4.644
-5.544;-7.778;-4.643
-5.543;-7.778;-4.637
-5.543;-7.775;-4.635
-5.543;-7.775;-4.632
-5.541;-7.775;-4.629
-5.541;-7.774;-4.626
-5.539;-7.774;-4.62
-5.538;-7.772;-4.618
-5.536;-7.771;-4.611
-5.535;-7.77;-4.607
-5.533;-7.77;-4.605
-5.533;-7.769;-4.603
-5.531;-7.769;-4.603
-5.53;-7.769;-4.59
-5.53;-7.769;-4.585
-5.528;-7.769;-4.581
-5.527;-7.768;-4.579
-5.527;-7.768;-4.578
-5.524;-7.768;-4.576
-5.522;-7.767;-4.576
-5.521;-7.766;-4.576
-5.519;-7.765;-4.572
-5.518;-7.765;-4.57
-5.515;-7.765;-4.559
-5.513;-7.764;-4.559
-5.51;-7.764;-4.558
-5.509;-7.764;-4.556
-5.509;-7.763;-4.555
-5.507;-7.763;-4.554
-5.506;-7.762;-4.552
-5.505;-7.762;-4.55
-5.505;-7.761;-4.541
-5.504;-7.761;-4.535
-5.501;-7.759;-4.53
-5.501;-7.759;-4.529
-5.5;-7.759;-4.528
-5.499;-7.759;-4.527
-5.497;-7.759;-4.525
-5.497;-7.759;-4.522
-5.496;-7.759;-4.515
-5.495;-7.759;-4.507
-5.495;-7.759;-4.506
-5.494;-7.759;-4.505
-5.494;-7.759;-4.502
-5.493;-7.759;-4.501
-5.492;-7.759;-4.499
-5.49;-7.759;-4.498
-5.487;-7.759;-4.497
-5.487;-7.759;-4.491
-5.486;-7.758;-4.481
-5.485;-7.757;-4.476
-5.485;-7.756;-4.474
-5.483;-7.756;-4.467
-5.481;-7.755;-4.45
-5.477;-7.754;-4.438
-5.477;-7.753;-4.432
-5.476;-7.753;-4.427
-5.476;-7.752;-4.421
-5.473;-7.752;-4.421
-5.473;-7.752;-4.417
-5.472;-7.751;-4.397
-5.471;-7.749;-4.39
-5.471;-7.748;-4.385
-5.469;-7.747;-4.369
-5.468;-7.747;-4.368
-5.467;-7.746;-4.36
-5.466;-7.746;-4.328
-5.462;-7.746;-4.327
-5.462;-7.743;-4.318
-5.46;-7.742;-4.313
-5.456;-7.741;-4.312
-5.455;-7.741;-4.31
-5.454;-7.74;-4.304
-5.454;-7.74;-4.294
